kab_asal,kab_tujuan,jarak_meter,jarak_km,waktu_detik,waktu_menit
Kabupaten Lamongan,Kota Batu,143429.0,143.43,6690.6,111.5
Kabupaten Lamongan,Kota Blitar,157917.9,157.92,8273.4,137.9
Kabupaten Lamongan,Kota Kediri,114083.4,114.08,5703.3,95.1
Kabupaten Lamongan,Kota Madiun,165343.4,165.34,8265.7,137.8
Kabupaten Lamongan,Kota Malang,133951.3,133.95,6072.8,101.2
Kabupaten Lamongan,Kota Mojokerto,50746.8,50.75,3053.2,50.9
Kabupaten Lamongan,Kota Pasuruan,106198.4,106.2,4947.9,82.5
Kabupaten Lamongan,Kota Probolinggo,142411.9,142.41,6540.6,109.0
Kabupaten Lamongan,Kota Surabaya,47036.1,47.04,2287.4,38.1
Kabupaten Lumajang,Kabupaten Madiun,271997.7,272.0,12634.9,210.6
Kabupaten Lumajang,Kabupaten Magetan,288965.7,288.97,13575.6,226.3
Kabupaten Lumajang,Kabupaten Malang,109461.6,109.46,4749.7,79.2
Kabupaten Lumajang,Kabupaten Mojokerto,131154.1,131.15,6074.0,101.2
Kabupaten Lumajang,Kabupaten Nganjuk,212978.9,212.98,9681.6,161.4
Kabupaten Lumajang,Kabupaten Ngawi,278470.4,278.47,13137.3,219.0
Kabupaten Lumajang,Kabupaten Pacitan,335319.8,335.32,14613.6,243.6
Kabupaten Lumajang,Kabupaten Pamekasan,262498.1,262.5,11642.9,194.0
